epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,9352.08,0.9616,0.63523,0.97406,0.7712,0.66878,0.7435,0.51237,1.10419,0.66065,1.01126,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
31,9663.11,0.95776,0.62791,0.97213,0.77236,0.66851,0.74344,0.51265,1.10401,0.65936,1.01102,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
32,9974.28,0.94758,0.61473,0.9675,0.77204,0.67046,0.74428,0.51306,1.10359,0.65832,1.01059,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
33,10285.7,0.94021,0.60776,0.96246,0.76653,0.67531,0.7443,0.51317,1.10359,0.65798,1.01029,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
34,10596.3,0.92909,0.59564,0.95821,0.76486,0.67738,0.74404,0.51322,1.10328,0.65765,1.01006,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
35,10907,0.92395,0.58774,0.9556,0.76957,0.67403,0.74448,0.51358,1.10327,0.65708,1.00994,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
36,11217.4,0.92058,0.58197,0.95455,0.77173,0.67228,0.74433,0.51356,1.10345,0.65658,1.00992,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
37,11528.1,0.90975,0.57186,0.95,0.7708,0.67224,0.74397,0.51375,1.1037,0.65623,1.01,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
38,11839.1,0.90187,0.56231,0.94821,0.77085,0.67211,0.74397,0.51358,1.10406,0.65613,1.01022,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
39,12150.1,0.89457,0.55604,0.94385,0.77017,0.67303,0.7442,0.51365,1.10433,0.65587,1.01036,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
40,12460,0.88843,0.55018,0.94051,0.76898,0.67424,0.74396,0.5136,1.10458,0.65567,1.01041,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
41,12769.3,0.8966,0.5362,0.94388,0.77002,0.67337,0.74362,0.51309,1.10506,0.65602,1.01067,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
42,13076.9,0.88782,0.52417,0.93965,0.76855,0.67418,0.74347,0.51296,1.10537,0.65603,1.01085,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
43,13384.4,0.87829,0.51489,0.9361,0.76634,0.67579,0.74299,0.51258,1.10594,0.65627,1.01114,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
44,13691.8,0.86947,0.50624,0.93322,0.76817,0.67443,0.74278,0.51243,1.10639,0.65701,1.01152,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
45,13998.9,0.86733,0.50556,0.93142,0.76416,0.67751,0.74232,0.51186,1.10699,0.65728,1.0119,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
46,14306.2,0.86146,0.50031,0.92872,0.76403,0.67815,0.74165,0.51172,1.1076,0.65762,1.01227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
47,14612.9,0.85913,0.49745,0.92809,0.76001,0.68024,0.74103,0.51122,1.10835,0.65815,1.01273,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513

